Age;Gender;Occupation;WTS;Occasions;Importance;Stratum;Lifestyle;Freq
Adult;Male;Student;Small;Hang outs with friends;Environment;Capital;Nightlife;Sometimes
Adult;Female;Student;Small;Hang outs with friends;Music;Capital;Traveling;Rarely
Adult;Male;Student;Medium;Hang outs with friends;Environment;Capital;Busy;Rarely
Adult;Male;Student;Medium;Hang outs with friends;Environment;Capital;Art;Sometimes
Adult;Female;Student + working;High;Hang outs with friends;Pricing;Capital;Passive;Rarely
Adult;Male;Student;Small;Hang outs with friends;Environment;Capital;Traveling;Frequency
Adult;Female;Student;Small;Hang outs with friends;Environment;Capital;Art;Sometimes
Adult;Female;Student;Small;Hang outs with friends;Environment;Capital;Busy;Sometimes
Adult;Male;Student + working;High;Hang outs with friends;Environment;Capital;Traveling;Rarely
Adult;Male;Student;Medium;Hang outs with friends;Environment;Capital;Nightlife;Sometimes
Adult;Female;Student;Medium;Special events/parties;Environment;Capital;Art;Rarely
Adult;Male;Student;Small;Hang outs with friends;Environment;Capital;Sport;Rarely
Adult;Female;Student;Small;Hang outs with friends;Environment;Capital;Traveling;Frequency
Adult;Male;Working;Medium;Special events/parties;Environment;Capital;Nightlife;Sometimes
Adult;Male;Student;Small;Hang outs with friends;Environment;Urban;Art;Sometimes
Young;Female;Student;Medium;Hang outs with friends;Music;Capital;Traveling;Sometimes
Adult;Male;Student;Small;Hang outs with friends;Environment;Capital;Sport;Sometimes
Adult;Female;Student;High;Birthdays;Environment;Rural;Sport;Rarely
Young;Female;Student;Medium;Hang outs with friends;Environment;Urban;Art;Rarely
Adult;Female;Student + working;Small;Birthdays;Environment;Urban;Traveling;Rarely
Young;Male;Student;High;Hang outs with friends;Environment;Capital;Busy;Rarely
Adult;Male;Student;High;Hang outs with friends;Environment;Capital;Nightlife;Frequency
Adult;Male;Student;Small;Hang outs with friends;Environment;Urban;Sport;Rarely
Adult;Male;Student + working;Medium;Hang outs with friends;Environment;Capital;Passive;Sometimes
Adult;Female;Student;Small;Hang outs with friends;Music;Capital;Traveling;Rarely
Adult;Female;Student;Small;Hang outs with friends;Menu;Capital;Art;Sometimes
Adult;Female;Student;Small;Hang outs with friends;Environment;Capital;Busy;Sometimes
Adult;Female;Student;Medium;Hang outs with friends;Environment;Capital;Traveling;Rarely
Adult;Male;Student;Medium;Special events/parties;Menu;Urban;Traveling;Rarely
Adult;Male;Student;High;Hang outs with friends;Environment;Capital;Art;Rarely
Adult;Female;Student;Small;Hang outs with friends;Environment;Capital;Passive;Sometimes
Adult;Female;Student;Medium;Hang outs with friends;Environment;Capital;Art;Rarely
Young;Male;Student;Medium;Hang outs with friends;Environment;Capital;Art;Rarely
Adult;Female;Student;Medium;Special events/parties;Environment;Urban;Art;Rarely
Adult;Male;Student;Medium;Hang outs with friends;Environment;Urban;Sport;Rarely
Adult;Male;Student;High;Hang outs with friends;Environment;Capital;Art;Sometimes
Adult;Female;Student;Medium;Hang outs with friends;Environment;Capital;Traveling;Rarely
Adult;Male;Student;High;Hang outs with friends;Environment;Capital;Passive;Frequency
Adult;Male;Student;Small;Hang outs with friends;Environment;Capital;Art;Sometimes
Adult;Female;Student;Small;Special events/parties;Environment;Capital;Traveling;Rarely
Adult;Male;Student;Medium;Hang outs with friends;Environment;Capital;Student;Sometimes
Adult;Female;Student;Medium;Hang outs with friends;Environment;Capital;Traveling;Frequency
Adult;Male;Student;Small;Special events/parties;Environment;Urban;Sport;Rarely
Adult;Female;Student;Medium;Hang outs with friends;Environment;Capital;Art;Sometimes
Old;Female;Working;High;Hang outs with friends;Music;Capital;Busy;Rarely
Adult;Female;Student + working;Small;Birthdays;Environment;Capital;Traveling;Rarely
Young;Male;Student;Medium;Hang outs with friends;Environment;Capital;Passive;Rarely
Young;Male;CEO;High;Hang outs with friends;Music;Capital;Sport;Rarely
Adult;Female;Student;High;Birthdays;Environment;Capital;Sport;Rarely
Adult;Female;Student;Small;Hang outs with friends;Environment;Capital;Passive;Frequency
Adult;Female;Student;Small;Special events/parties;Environment;Capital;Traveling;Rarely
Adult;Female;Student;Medium;Hang outs with friends;Music;Capital;Traveling;Sometimes
Young;Female;Student;Small;Hang outs with friends;Music;Urban;Art;Rarely
Adult;Female;Student;Small;Birthdays;Environment;Capital;Traveling;Rarely
Adult;Male;Working;Medium;Hang outs with friends;Environment;Urban;Sport;Sometimes
Adult;Female;Student;Medium;Hang outs with friends;Menu;Capital;Art;Sometimes
Adult;Female;Student;Medium;Hang outs with friends;Music;Capital;Art;Sometimes
Adult;Female;Student;Small;Special events/parties;Environment;Capital;Passive;Rarely
Adult;Male;Student;Medium;Hang outs with friends;Environment;Capital;Busy;Rarely
Adult;Female;Student + working;Small;Hang outs with friends;Music;Capital;Busy;Sometimes
Adult;Female;Student;Medium;Birthdays;Environment;Capital;Busy;Rarely
Adult;Female;Student + working;Small;Hang outs with friends;Environment;Capital;Busy;Rarely
Adult;Male;Student;Medium;Hang outs with friends;Environment;Capital;Busy;Rarely
Adult;Female;Student;Small;Special events/parties;Pricing;Capital;Art;Rarely
Adult;Female;Student;High;Birthdays;Environment;Urban;Traveling;Rarely
Adult;Female;Student;Small;Never;Environment;Capital;Art;Rarely
Adult;Male;Student;High;Hang outs with friends;Environment;Capital;Busy;Sometimes
Adult;Male;Student + working;Small;Never;Environment;Urban;Busy;Rarely
Adult;Male;Student;Medium;Never;Pricing;Urban;Busy;Rarely
Adult;Female;Student;Medium;Hang outs with friends;Environment;Capital;Busy;Sometimes
Young;Female;Student;Medium;Hang outs with friends;Music;Urban;Busy;Sometimes
Old;Male;Working;Medium;Hang outs with friends;Environment;Capital;Busy;Sometimes
Adult;Female;Student;Medium;Birthdays;Music;Capital;Busy;Rarely
Adult;Male;Student + working;Medium;Hang outs with friends;Environment;Capital;Busy;Rarely
Adult;Male;Student;Medium;Hang outs with friends;Music;Urban;Art;Frequency
Adult;Male;Student + working;Medium;Hang outs with friends;Music;Capital;Art;Sometimes
Adult;Female;Student + working;Small;Hang outs with friends;Pricing;Capital;Traveling;Sometimes
Adult;Female;Student;Small;Never;Environment;Urban;Busy;Rarely
Adult;Female;Student;Medium;Hang outs with friends;Environment;Urban;Traveling;Sometimes
Adult;Female;Student;Small;Hang outs with friends;Pricing;Capital;Art;Rarely
Adult;Female;Student + working;Medium;Hang outs with friends;Music;Capital;Traveling;Frequency
Old;Male;Working;Small;Hang outs with friends;Environment;Capital;Busy;Sometimes
Adult;Male;Student;Medium;Hang outs with friends;Environment;Capital;Busy;Rarely
Adult;Male;Student + working;Medium;Hang outs with friends;Environment;Capital;Traveling;Sometimes
Adult;Female;Student;Medium;Hang outs with friends;Pricing;Capital;Busy;Frequency
Adult;Female;Student;Small;Hang outs with friends;Environment;Capital;Busy;Rarely
Adult;Male;Student;Medium;Hang outs with friends;Environment;Capital;Nightlife;Frequency
Adult;Male;Student;Small;Never;Environment;Urban;Busy;Sometimes
Old;Female;Working;Medium;Hang outs with friends;Music;Capital;Busy;Rarely
Adult;Female;Student + working;Medium;Hang outs with friends;Environment;Capital;Traveling;Sometimes
Adult;Male;Student;High;Hang outs with friends;Environment;Urban;Busy;Sometimes
Adult;Female;Student + working;Medium;Special events/parties;Environment;Capital;Busy;Rarely
Young;Male;Student;Medium;Hang outs with friends;Environment;Urban;Busy;Rarely
Adult;Female;Student + working;Medium;Hang outs with friends;Environment;Capital;Busy;Rarely
Old;Female;Working;Medium;Hang outs with friends;Environment;Capital;Busy;Rarely
Adult;Female;Student;Small;Hang outs with friends;Environment;Urban;Busy;Sometimes
Adult;Female;Student;Small;Hang outs with friends;Music;Capital;Nightlife;Frequency
Adult;Female;Student + working;High;Hang outs with friends;Music;Capital;Busy;Frequency
Adult;Female;Student;Medium;Hang outs with friends;Environment;Capital;Busy;Rarely
Adult;Male;Student + working;High;Birthdays;Environment;Capital;Traveling;Rarely
Adult;Female;Student + working;Small;Hang outs with friends;Environment;Capital;Busy;Sometimes
Adult;Female;Student;Medium;Hang outs with friends;Music;Capital;Traveling;Sometimes
Adult;Male;Student;High;Hang outs with friends;Environment;Capital;Busy;Frequency
Adult;Female;Student;Medium;Special events/parties;Music;Urban;Art;Rarely
Adult;Female;Student + working;Medium;Hang outs with friends;Environment;Capital;Busy;Rarely
Adult;Male;Student;High;Hang outs with friends;Environment;Capital;Busy;Rarely
Adult;Female;Student + working;Medium;Hang outs with friends;Environment;Capital;Busy;Rarely
Adult;Male;Student;Small;Hang outs with friends;Menu;Urban;Sport;Sometimes
Adult;Male;Student + working;High;Birthdays;Environment;Capital;Traveling;Rarely
Adult;Male;Student + working;Medium;Hang outs with friends;Music;Urban;Art;Rarely
Adult;Male;Entrepreneur / Software Engineer;High;Hang outs with friends;Environment;Capital;Traveling;Rarely
Old;Male;Student + working;Medium;Hang outs with friends;Environment;Capital;Busy;Rarely
Adult;Male;Student + working;Small;Hang outs with friends;Environment;Capital;Art;Rarely
Adult;Male;Student;Medium;Hang outs with friends;Environment;Capital;Busy;Rarely
Adult;Female;Student;Medium;Hang outs with friends;Environment;Urban;Busy;Sometimes
Adult;Female;Student;Small;Hang outs with friends;Music;Urban;Art;Sometimes
Adult;Male;Student + working;Medium;Hang outs with friends;Environment;Capital;Traveling;Rarely
Adult;Female;Student;Medium;Hang outs with friends;Environment;Capital;Busy;Rarely
Adult;Male;army;Small;Never;Environment;Capital;Busy;Rarely
Adult;Male;Student + working;Small;Hang outs with friends;Environment;Capital;Nightlife;Sometimes
Old;Female;Working;Medium;Hang outs with friends;Music;Capital;Traveling;Rarely
Adult;Female;Student;Medium;Special events/parties;Music;Capital;Traveling;Sometimes
Old;Male;Working;High;Hang outs with friends;Menu;Rural;Busy;Rarely
Adult;Female;Student;Small;Hang outs with friends;Environment;Capital;Traveling;Frequency
Adult;Female;Student + working;High;Hang outs with friends;Environment;Capital;Art;Frequency
Adult;Female;Student;High;Hang outs with friends;Music;Capital;Sport;Rarely
Adult;Male;Student;Small;Hang outs with friends;Environment;Urban;Busy;Rarely
Adult;Female;Student;Medium;Hang outs with friends;Music;Capital;Traveling;Sometimes
Adult;Female;Student;Small;Hang outs with friends;Environment;Capital;Busy;Rarely
Adult;Male;Student;High;Hang outs with friends;Environment;Capital;Busy;Rarely
Adult;Male;Student;Small;Hang outs with friends;Pricing;Capital;Sport;Sometimes
Adult;Female;Student;High;Birthdays;Environment;Urban;Busy;Rarely
Adult;Female;Student;Medium;Hang outs with friends;Environment;Capital;Traveling;Rarely
Adult;Female;Student;Small;Hang outs with friends;Environment;Urban;Busy;Rarely
Adult;Female;Student;Medium;Hang outs with friends;Environment;Capital;Art;Rarely
Old;Male;Student + working;Medium;Hang outs with friends;Environment;Capital;Busy;Sometimes
Adult;Female;Student;Medium;Special events/parties;Music;Capital;Busy;Rarely
Old;Male;Student + working;Medium;Hang outs with friends;Environment;Capital;Busy;Sometimes
Adult;Female;Student + working;Small;Hang outs with friends;Environment;Capital;Traveling;Frequency
Adult;Male;Student + working;High;Hang outs with friends;Music;Urban;Traveling;Sometimes
Adult;Female;Student + working;Medium;Hang outs with friends;Music;Capital;Busy;Rarely
Adult;Male;Student;Medium;Hang outs with friends;Music;Capital;Nightlife;Frequency
Adult;Female;Student;Medium;Hang outs with friends;Environment;Capital;Busy;Rarely
Young;Female;Student;Medium;Hang outs with friends;Environment;Urban;Busy;Rarely
Adult;Female;Student;Medium;Hang outs with friends;Music;Capital;Busy;Sometimes
Adult;Female;Student;Medium;Hang outs with friends;Environment;Capital;Busy;Sometimes
Adult;Female;Student + working;Medium;Hang outs with friends;Music;Capital;Busy;Rarely
Adult;Male;Student;Small;Hang outs with friends;Environment;Capital;Busy;Sometimes
Adult;Female;Student;Small;Hang outs with friends;Environment;Capital;Busy;Sometimes
Adult;Male;Student + working;High;Hang outs with friends;Environment;Capital;Busy;Rarely
Adult;Female;Student;Small;Special events/parties;Environment;Capital;Busy;Sometimes
Adult;Male;Student + working;Medium;Hang outs with friends;Environment;Capital;Art;Frequency
Adult;Female;Student;Medium;Hang outs with friends;Environment;Capital;Busy;Sometimes
Adult;Male;Student;Medium;Hang outs with friends;Environment;Capital;Busy;Rarely
Adult;Female;Student;Small;Hang outs with friends;Environment;Capital;Traveling;Rarely
Adult;Female;Student;Medium;Hang outs with friends;Music;Capital;Traveling;Sometimes
Adult;Female;Student;Small;Music;Music;Capital;Busy;Rarely
Adult;Female;Student;High;Birthdays;Music;Capital;Art;Sometimes
Adult;Male;Student;Medium;Special events/parties;Environment;Capital;Sport;Rarely
Adult;Female;Student;High;Special events/parties;Music;Capital;Busy;Rarely
Adult;Female;Student;High;Birthdays;Environment;Capital;Traveling;Rarely
Young;Male;Student;Medium;Hang outs with friends;Music;Capital;Busy;Rarely
Adult;Male;Student;Medium;Hang outs with friends;Environment;Capital;Traveling;Sometimes
Adult;Female;Student;Medium;Birthdays;Music;Rural;Busy;Rarely
Adult;Female;Student;Small;Hang outs with friends;Music;Capital;Busy;Sometimes
Young;Female;Student;Medium;Hang outs with friends;Music;Urban;Busy;Rarely
Adult;Male;Student;High;Hang outs with friends;Environment;Urban;Busy;Sometimes
Old;Male;Working;High;Hang outs with friends;Music;Capital;Busy;Sometimes
Adult;Female;Student + working;Small;Hang outs with friends;Environment;Capital;Busy;Frequency
Adult;Female;Student + working;Medium;Hang outs with friends;Environment;Capital;Busy;Rarely
Adult;Female;Student;Small;Hang outs with friends;Environment;Capital;Busy;Rarely
Adult;Female;Student;Small;Hang outs with friends;Environment;Capital;Busy;Sometimes
Adult;Female;Student + working;Medium;Hang outs with friends;Environment;Capital;Busy;Rarely
Adult;Male;Student;Medium;Hang outs with friends;Pricing;Capital;Art;Frequency
Adult;Female;Student + working;Medium;Hang outs with friends;Environment;Capital;Busy;Sometimes
